,X,Y,DC,# of Radars,Longitude,Latitude
0,297,204,370.0,2.0,109.0,34.5
1,351,544,370.0,2.0,108.0,39.5
2,297,204,369.0,2.0,109.0,34.5
3,351,544,369.0,2.0,108.0,39.5
4,297,204,368.0,2.0,109.0,34.5
5,351,544,368.0,2.0,108.0,39.5
6,297,204,367.0,2.0,109.0,34.5
7,351,544,367.0,2.0,108.0,39.5
8,297,204,366.0,2.0,109.0,34.5
9,351,544,366.0,2.0,108.0,39.5
10,297,170,365.0,3.0,109.0,34.0
11,351,578,365.0,3.0,108.0,40.0
12,378,306,365.0,3.0,107.5,36.0
13,297,170,364.0,3.0,109.0,34.0
14,351,578,364.0,3.0,108.0,40.0
15,378,306,364.0,3.0,107.5,36.0
16,297,170,363.0,3.0,109.0,34.0
17,351,578,363.0,3.0,108.0,40.0
18,378,306,363.0,3.0,107.5,36.0
19,297,170,362.0,3.0,109.0,34.0
20,351,578,362.0,3.0,108.0,40.0
21,378,306,362.0,3.0,107.5,36.0
22,297,170,361.0,3.0,109.0,34.0
23,351,578,361.0,3.0,108.0,40.0
24,378,306,361.0,3.0,107.5,36.0
25,297,170,360.0,3.0,109.0,34.0
26,351,578,360.0,3.0,108.0,40.0
27,378,306,360.0,3.0,107.5,36.0
28,351,306,359.0,3.0,108.0,36.0
29,297,170,359.0,3.0,109.0,34.0
30,351,578,359.0,3.0,108.0,40.0
31,351,306,358.0,3.0,108.0,36.0
32,297,170,358.0,3.0,109.0,34.0
33,351,578,358.0,3.0,108.0,40.0
34,351,306,357.0,3.0,108.0,36.0
35,297,170,357.0,3.0,109.0,34.0
36,351,578,357.0,3.0,108.0,40.0
37,351,306,356.0,3.0,108.0,36.0
38,297,170,356.0,3.0,109.0,34.0
39,351,578,356.0,3.0,108.0,40.0
40,351,306,355.0,3.0,108.0,36.0
41,297,170,355.0,3.0,109.0,34.0
42,351,578,355.0,3.0,108.0,40.0
43,351,306,354.0,3.0,108.0,36.0
44,297,170,354.0,3.0,109.0,34.0
45,351,578,354.0,3.0,108.0,40.0
46,351,306,353.0,3.0,108.0,36.0
47,297,170,353.0,3.0,109.0,34.0
48,351,578,353.0,3.0,108.0,40.0
49,351,306,352.0,3.0,108.0,36.0
50,297,170,352.0,3.0,109.0,34.0
51,351,578,352.0,3.0,108.0,40.0
52,297,136,351.0,3.0,109.0,33.5
53,108,374,351.0,3.0,112.5,37.0
54,378,476,351.0,3.0,107.5,38.5
55,297,136,350.0,3.0,109.0,33.5
56,108,374,350.0,3.0,112.5,37.0
57,378,476,350.0,3.0,107.5,38.5
58,405,510,349.0,3.0,107.0,39.0
59,297,136,349.0,3.0,109.0,33.5
60,243,476,349.0,3.0,110.0,38.5
61,405,510,348.0,3.0,107.0,39.0
62,297,136,348.0,3.0,109.0,33.5
63,243,476,348.0,3.0,110.0,38.5
64,405,510,347.0,3.0,107.0,39.0
65,297,136,347.0,3.0,109.0,33.5
66,243,476,347.0,3.0,110.0,38.5
67,405,510,346.0,3.0,107.0,39.0
68,297,136,346.0,3.0,109.0,33.5
69,243,476,346.0,3.0,110.0,38.5
70,405,510,345.0,3.0,107.0,39.0
71,297,136,345.0,3.0,109.0,33.5
72,243,476,345.0,3.0,110.0,38.5
73,405,510,344.0,3.0,107.0,39.0
74,297,136,344.0,3.0,109.0,33.5
75,243,476,344.0,3.0,110.0,38.5
76,405,510,343.0,3.0,107.0,39.0
77,297,136,343.0,3.0,109.0,33.5
78,243,476,343.0,3.0,110.0,38.5
79,189,442,342.0,3.0,111.0,38.0
80,540,340,342.0,3.0,104.5,36.5
81,297,136,342.0,3.0,109.0,33.5
82,270,238,341.0,3.0,109.5,35.0
83,540,340,341.0,3.0,104.5,36.5
84,162,408,341.0,3.0,111.5,37.5
85,135,442,340.0,3.0,112.0,38.0
86,540,340,340.0,3.0,104.5,36.5
87,324,170,340.0,3.0,108.5,34.0
88,189,442,339.0,3.0,111.0,38.0
89,540,340,339.0,3.0,104.5,36.5
90,216,272,339.0,3.0,110.5,35.5
91,189,442,338.0,3.0,111.0,38.0
92,540,340,338.0,3.0,104.5,36.5
93,216,272,338.0,3.0,110.5,35.5
94,189,442,337.0,3.0,111.0,38.0
95,540,340,337.0,3.0,104.5,36.5
96,216,272,337.0,3.0,110.5,35.5
97,189,442,336.0,3.0,111.0,38.0
98,540,340,336.0,3.0,104.5,36.5
99,216,272,336.0,3.0,110.5,35.5
100,189,442,335.0,3.0,111.0,38.0
101,540,340,335.0,3.0,104.5,36.5
102,216,272,335.0,3.0,110.5,35.5
103,216,476,334.0,3.0,110.5,38.5
104,567,340,334.0,3.0,104.0,36.5
105,324,136,334.0,3.0,108.5,33.5
106,216,476,333.0,3.0,110.5,38.5
107,567,340,333.0,3.0,104.0,36.5
108,324,136,333.0,3.0,108.5,33.5
109,216,476,332.0,3.0,110.5,38.5
110,567,340,332.0,3.0,104.0,36.5
111,324,136,332.0,3.0,108.5,33.5
112,540,408,331.0,3.0,104.5,37.5
113,216,476,331.0,3.0,110.5,38.5
114,297,68,331.0,3.0,109.0,32.5
115,540,408,330.0,3.0,104.5,37.5
116,216,476,330.0,3.0,110.5,38.5
117,297,68,330.0,3.0,109.0,32.5
118,540,408,329.0,3.0,104.5,37.5
119,216,476,329.0,3.0,110.5,38.5
120,297,68,329.0,3.0,109.0,32.5
121,540,408,328.0,3.0,104.5,37.5
122,216,476,328.0,3.0,110.5,38.5
123,297,68,328.0,3.0,109.0,32.5
124,540,408,327.0,3.0,104.5,37.5
125,216,476,327.0,3.0,110.5,38.5
126,297,68,327.0,3.0,109.0,32.5
127,216,476,326.0,3.0,110.5,38.5
128,297,68,326.0,3.0,109.0,32.5
129,513,374,326.0,3.0,105.0,37.0
130,297,34,325.0,3.0,109.0,32.0
131,162,442,325.0,3.0,111.5,38.0
132,513,374,325.0,3.0,105.0,37.0
133,594,340,324.0,3.0,103.5,36.5
134,216,476,324.0,3.0,110.5,38.5
135,297,68,324.0,3.0,109.0,32.5
136,594,340,323.0,3.0,103.5,36.5
137,216,476,323.0,3.0,110.5,38.5
138,243,238,323.0,3.0,110.0,35.0
139,594,340,322.0,3.0,103.5,36.5
140,216,476,322.0,3.0,110.5,38.5
141,243,238,322.0,3.0,110.0,35.0
142,594,340,321.0,3.0,103.5,36.5
143,270,238,321.0,3.0,109.5,35.0
144,243,510,321.0,3.0,110.0,39.0
145,594,340,320.0,3.0,103.5,36.5
146,270,238,320.0,3.0,109.5,35.0
147,243,510,320.0,3.0,110.0,39.0
148,594,340,319.0,3.0,103.5,36.5
149,270,204,319.0,3.0,109.5,34.5
150,243,510,319.0,3.0,110.0,39.0
151,594,340,318.0,3.0,103.5,36.5
152,270,204,318.0,3.0,109.5,34.5
153,243,510,318.0,3.0,110.0,39.0
154,594,340,317.0,3.0,103.5,36.5
155,270,204,317.0,3.0,109.5,34.5
156,243,510,317.0,3.0,110.0,39.0
157,270,170,316.0,3.0,109.5,34.0
158,270,544,316.0,3.0,109.5,39.5
159,621,340,316.0,3.0,103.0,36.5
160,270,170,315.0,3.0,109.5,34.0
161,270,544,315.0,3.0,109.5,39.5
162,621,340,315.0,3.0,103.0,36.5
163,270,170,314.0,3.0,109.5,34.0
164,270,544,314.0,3.0,109.5,39.5
165,621,340,314.0,3.0,103.0,36.5
166,270,170,313.0,3.0,109.5,34.0
167,270,544,313.0,3.0,109.5,39.5
168,621,340,313.0,3.0,103.0,36.5
169,270,170,312.0,3.0,109.5,34.0
170,270,544,312.0,3.0,109.5,39.5
171,621,340,312.0,3.0,103.0,36.5
172,270,170,311.0,3.0,109.5,34.0
173,270,544,311.0,3.0,109.5,39.5
174,621,340,311.0,3.0,103.0,36.5
175,189,476,310.0,4.0,111.0,38.5
176,216,272,310.0,4.0,110.5,35.5
177,405,544,310.0,4.0,107.0,39.5
178,486,306,310.0,4.0,105.5,36.0
179,189,476,309.0,4.0,111.0,38.5
180,216,272,309.0,4.0,110.5,35.5
181,405,544,309.0,4.0,107.0,39.5
182,486,306,309.0,4.0,105.5,36.0
183,189,476,308.0,4.0,111.0,38.5
184,216,272,308.0,4.0,110.5,35.5
185,405,544,308.0,4.0,107.0,39.5
186,486,306,308.0,4.0,105.5,36.0
187,270,170,307.0,4.0,109.5,34.0
188,405,544,307.0,4.0,107.0,39.5
189,486,306,307.0,4.0,105.5,36.0
190,162,442,307.0,4.0,111.5,38.0
191,270,170,306.0,4.0,109.5,34.0
192,405,544,306.0,4.0,107.0,39.5
193,486,306,306.0,4.0,105.5,36.0
194,162,442,306.0,4.0,111.5,38.0
195,540,374,305.0,4.0,104.5,37.0
196,486,306,305.0,4.0,105.5,36.0
197,243,238,305.0,4.0,110.0,35.0
198,243,510,305.0,4.0,110.0,39.0
199,540,306,304.0,4.0,104.5,36.0
200,540,374,304.0,4.0,104.5,37.0
201,243,238,304.0,4.0,110.0,35.0
202,243,510,304.0,4.0,110.0,39.0
203,432,238,303.0,4.0,106.5,35.0
204,243,238,303.0,4.0,110.0,35.0
205,513,408,303.0,4.0,105.0,37.5
206,243,510,303.0,4.0,110.0,39.0
207,216,510,302.0,4.0,110.5,39.0
208,243,238,302.0,4.0,110.0,35.0
209,513,442,302.0,4.0,105.0,38.0
210,459,204,302.0,4.0,106.0,34.5
211,216,510,301.0,4.0,110.5,39.0
212,243,238,301.0,4.0,110.0,35.0
213,513,442,301.0,4.0,105.0,38.0
214,459,204,301.0,4.0,106.0,34.5
215,216,510,300.0,4.0,110.5,39.0
216,243,238,300.0,4.0,110.0,35.0
217,513,442,300.0,4.0,105.0,38.0
218,459,204,300.0,4.0,106.0,34.5
219,216,510,299.0,4.0,110.5,39.0
220,243,238,299.0,4.0,110.0,35.0
221,513,442,299.0,4.0,105.0,38.0
222,459,204,299.0,4.0,106.0,34.5
223,216,510,298.0,4.0,110.5,39.0
224,243,204,298.0,4.0,110.0,34.5
225,432,476,298.0,4.0,106.5,38.5
226,459,238,298.0,4.0,106.0,35.0
227,189,476,297.0,4.0,111.0,38.5
228,486,238,297.0,4.0,105.5,35.0
229,243,204,297.0,4.0,110.0,34.5
230,432,476,297.0,4.0,106.5,38.5
231,135,442,296.0,4.0,112.0,38.0
232,459,476,296.0,4.0,106.0,38.5
233,216,238,296.0,4.0,110.5,35.0
234,486,238,296.0,4.0,105.5,35.0
235,135,442,295.0,4.0,112.0,38.0
236,459,476,295.0,4.0,106.0,38.5
237,216,238,295.0,4.0,110.5,35.0
238,486,238,295.0,4.0,105.5,35.0
239,135,442,294.0,4.0,112.0,38.0
240,459,476,294.0,4.0,106.0,38.5
241,216,238,294.0,4.0,110.5,35.0
242,486,238,294.0,4.0,105.5,35.0
243,135,442,293.0,4.0,112.0,38.0
244,459,476,293.0,4.0,106.0,38.5
245,216,238,293.0,4.0,110.5,35.0
246,486,238,293.0,4.0,105.5,35.0
247,189,510,292.0,4.0,111.0,39.0
248,216,204,292.0,4.0,110.5,34.5
249,486,442,292.0,4.0,105.5,38.0
250,459,238,292.0,4.0,106.0,35.0
251,189,510,291.0,4.0,111.0,39.0
252,216,204,291.0,4.0,110.5,34.5
253,486,442,291.0,4.0,105.5,38.0
254,459,238,291.0,4.0,106.0,35.0
255,189,510,290.0,4.0,111.0,39.0
256,216,204,290.0,4.0,110.5,34.5
257,486,442,290.0,4.0,105.5,38.0
258,459,238,290.0,4.0,106.0,35.0
259,189,510,289.0,4.0,111.0,39.0
260,216,204,289.0,4.0,110.5,34.5
261,486,442,289.0,4.0,105.5,38.0
262,459,238,289.0,4.0,106.0,35.0
263,540,408,288.0,4.0,104.5,37.5
264,216,204,288.0,4.0,110.5,34.5
265,486,238,288.0,4.0,105.5,35.0
266,162,476,288.0,4.0,111.5,38.5
267,135,476,287.0,4.0,112.0,38.5
268,216,204,287.0,4.0,110.5,34.5
269,486,204,287.0,4.0,105.5,34.5
270,486,442,287.0,4.0,105.5,38.0
271,135,476,286.0,4.0,112.0,38.5
272,216,204,286.0,4.0,110.5,34.5
273,486,204,286.0,4.0,105.5,34.5
274,486,442,286.0,4.0,105.5,38.0
275,135,476,285.0,4.0,112.0,38.5
276,216,204,285.0,4.0,110.5,34.5
277,486,204,285.0,4.0,105.5,34.5
278,486,442,285.0,4.0,105.5,38.0
279,135,476,284.0,4.0,112.0,38.5
280,216,204,284.0,4.0,110.5,34.5
281,486,204,284.0,4.0,105.5,34.5
282,486,442,284.0,4.0,105.5,38.0
283,135,476,283.0,4.0,112.0,38.5
284,621,272,283.0,4.0,103.0,35.5
285,486,442,283.0,4.0,105.5,38.0
286,243,170,283.0,4.0,110.0,34.0
287,135,476,282.0,4.0,112.0,38.5
288,621,272,282.0,4.0,103.0,35.5
289,486,442,282.0,4.0,105.5,38.0
290,243,170,282.0,4.0,110.0,34.0
