,Solution X,Solution Y,DC,Objective,Solution Longitude,Solution Latitude
0,324,374,452.0,599.0,108.5,37.0
1,324,374,453.0,599.0,108.5,37.0
2,324,374,454.0,599.0,108.5,37.0
3,324,374,455.0,599.0,108.5,37.0
4,324,374,456.0,599.0,108.5,37.0
5,324,374,457.0,599.0,108.5,37.0
6,324,374,458.0,599.0,108.5,37.0
7,324,374,459.0,599.0,108.5,37.0
8,324,374,460.0,599.0,108.5,37.0
9,324,374,461.0,599.0,108.5,37.0
10,324,374,462.0,599.0,108.5,37.0
11,324,374,463.0,599.0,108.5,37.0
12,324,374,464.0,599.0,108.5,37.0
13,324,374,465.0,599.0,108.5,37.0
14,324,374,466.0,599.0,108.5,37.0
15,324,374,467.0,599.0,108.5,37.0
16,324,374,468.0,599.0,108.5,37.0
17,324,374,469.0,599.0,108.5,37.0
18,297,374,470.0,572.0,109.0,37.0
19,297,374,471.0,572.0,109.0,37.0
20,297,374,472.0,572.0,109.0,37.0
21,297,374,473.0,572.0,109.0,37.0
22,297,374,474.0,572.0,109.0,37.0
23,297,374,475.0,572.0,109.0,37.0
24,297,374,476.0,572.0,109.0,37.0
25,297,374,477.0,572.0,109.0,37.0
26,324,408,478.0,556.0,108.5,37.5
27,324,408,479.0,556.0,108.5,37.5
28,324,408,480.0,556.0,108.5,37.5
29,324,408,481.0,556.0,108.5,37.5
30,324,408,482.0,556.0,108.5,37.5
31,324,408,483.0,556.0,108.5,37.5
32,324,408,484.0,556.0,108.5,37.5
33,324,408,485.0,556.0,108.5,37.5
34,324,408,486.0,556.0,108.5,37.5
35,324,408,487.0,556.0,108.5,37.5
36,324,408,488.0,556.0,108.5,37.5
37,270,374,489.0,538.0,109.5,37.0
38,270,374,490.0,538.0,109.5,37.0
39,270,374,491.0,538.0,109.5,37.0
40,270,374,492.0,538.0,109.5,37.0
41,270,374,493.0,538.0,109.5,37.0
42,270,374,494.0,538.0,109.5,37.0
43,297,408,495.0,531.0,109.0,37.5
44,297,408,496.0,531.0,109.0,37.5
45,297,408,497.0,531.0,109.0,37.5
46,297,408,498.0,531.0,109.0,37.5
47,297,408,499.0,531.0,109.0,37.5
48,297,408,500.0,531.0,109.0,37.5
49,297,408,501.0,531.0,109.0,37.5
50,297,408,502.0,531.0,109.0,37.5
51,297,408,503.0,531.0,109.0,37.5
52,297,408,504.0,531.0,109.0,37.5
53,324,442,505.0,512.0,108.5,38.0
54,324,442,506.0,512.0,108.5,38.0
55,324,442,507.0,512.0,108.5,38.0
56,324,442,508.0,512.0,108.5,38.0
57,405,374,509.0,512.0,107.0,37.0
58,405,374,510.0,512.0,107.0,37.0
59,243,374,511.0,503.0,110.0,37.0
60,243,374,512.0,503.0,110.0,37.0
61,270,408,513.0,499.0,109.5,37.5
62,270,408,514.0,499.0,109.5,37.5
63,270,408,515.0,499.0,109.5,37.5
64,270,408,516.0,499.0,109.5,37.5
65,270,408,517.0,499.0,109.5,37.5
66,270,408,518.0,499.0,109.5,37.5
67,270,408,519.0,499.0,109.5,37.5
68,270,408,520.0,499.0,109.5,37.5
69,297,442,521.0,489.0,109.0,38.0
70,297,442,522.0,489.0,109.0,38.0
71,297,442,523.0,489.0,109.0,38.0
72,297,442,524.0,489.0,109.0,38.0
73,297,442,525.0,489.0,109.0,38.0
74,297,442,526.0,489.0,109.0,38.0
75,297,442,527.0,489.0,109.0,38.0
76,297,442,528.0,489.0,109.0,38.0
77,405,408,529.0,477.0,107.0,37.5
78,432,374,530.0,475.0,106.5,37.0
79,432,374,531.0,475.0,106.5,37.0
80,243,408,532.0,466.0,110.0,37.5
81,243,408,533.0,466.0,110.0,37.5
82,243,408,534.0,466.0,110.0,37.5
