,X,Y,# of Radars,Solution,Longitude,Latitude
0,0,68,2,Vertex,114.5,32.5
1,0,102,2,Vertex,114.5,33.0
2,0,136,2,Vertex,114.5,33.5
3,0,170,2,Vertex,114.5,34.0
4,0,238,2,Vertex,114.5,35.0
5,0,272,2,Vertex,114.5,35.5
6,0,306,2,Vertex,114.5,36.0
7,27,68,2,Vertex,114.0,32.5
8,27,102,2,Vertex,114.0,33.0
9,27,136,2,Vertex,114.0,33.5
10,27,170,2,Vertex,114.0,34.0
11,27,204,2,Vertex,114.0,34.5
12,27,238,2,Vertex,114.0,35.0
13,27,272,2,Vertex,114.0,35.5
14,27,306,2,Vertex,114.0,36.0
15,27,340,2,Vertex,114.0,36.5
16,27,374,2,Vertex,114.0,37.0
17,27,408,2,Vertex,114.0,37.5
18,27,442,2,Vertex,114.0,38.0
19,27,476,2,Vertex,114.0,38.5
20,27,510,2,Vertex,114.0,39.0
21,27,544,2,Vertex,114.0,39.5
22,27,578,2,Vertex,114.0,40.0
23,27,612,2,Vertex,114.0,40.5
24,27,646,2,Vertex,114.0,41.0
25,27,680,2,Vertex,114.0,41.5
26,27,714,2,Vertex,114.0,42.0
27,54,68,2,Vertex,113.5,32.5
28,54,102,2,Vertex,113.5,33.0
29,54,136,2,Vertex,113.5,33.5
30,54,170,2,Vertex,113.5,34.0
31,54,204,2,Vertex,113.5,34.5
32,54,238,2,Vertex,113.5,35.0
33,54,272,2,Vertex,113.5,35.5
34,54,306,2,Vertex,113.5,36.0
35,54,340,2,Vertex,113.5,36.5
36,54,374,2,Vertex,113.5,37.0
37,54,408,2,Vertex,113.5,37.5
38,54,442,2,Vertex,113.5,38.0
39,54,476,2,Vertex,113.5,38.5
40,54,510,2,Vertex,113.5,39.0
41,54,544,2,Vertex,113.5,39.5
42,54,578,2,Vertex,113.5,40.0
43,54,612,2,Vertex,113.5,40.5
44,54,646,2,Vertex,113.5,41.0
45,54,680,2,Vertex,113.5,41.5
46,54,714,2,Vertex,113.5,42.0
47,81,34,2,Vertex,113.0,32.0
48,81,68,2,Vertex,113.0,32.5
49,81,102,2,Vertex,113.0,33.0
50,81,136,2,Vertex,113.0,33.5
51,81,170,2,Vertex,113.0,34.0
52,81,204,2,Vertex,113.0,34.5
53,81,238,2,Vertex,113.0,35.0
54,81,272,2,Vertex,113.0,35.5
55,81,306,2,Vertex,113.0,36.0
56,81,340,2,Vertex,113.0,36.5
57,81,374,2,Vertex,113.0,37.0
58,81,408,2,Vertex,113.0,37.5
59,81,442,2,Vertex,113.0,38.0
60,81,476,2,Vertex,113.0,38.5
61,81,510,2,Vertex,113.0,39.0
62,81,544,2,Vertex,113.0,39.5
63,81,578,2,Vertex,113.0,40.0
64,81,612,2,Vertex,113.0,40.5
65,81,646,2,Vertex,113.0,41.0
66,81,680,2,Vertex,113.0,41.5
67,81,714,2,Vertex,113.0,42.0
68,108,34,2,Vertex,112.5,32.0
69,108,68,2,Vertex,112.5,32.5
70,108,102,2,Vertex,112.5,33.0
71,108,136,2,Vertex,112.5,33.5
72,108,170,2,Vertex,112.5,34.0
73,108,204,2,Vertex,112.5,34.5
74,108,238,2,Vertex,112.5,35.0
75,108,272,2,Vertex,112.5,35.5
76,108,306,2,Vertex,112.5,36.0
77,108,340,2,Vertex,112.5,36.5
78,108,374,2,Vertex,112.5,37.0
79,108,408,2,Vertex,112.5,37.5
80,108,442,2,Vertex,112.5,38.0
81,108,476,2,Vertex,112.5,38.5
