,X,Y
0,0,68
1,0,102
2,0,136
3,0,170
4,0,238
5,0,272
6,0,306
7,27,68
8,27,102
9,27,136
10,27,170
11,27,204
12,27,238
13,27,272
14,27,306
15,27,340
16,27,374
17,27,408
18,27,442
19,27,476
20,27,510
21,27,544
22,27,578
23,27,612
24,27,646
25,27,680
26,27,714
27,54,68
28,54,102
29,54,136
30,54,170
31,54,204
32,54,238
33,54,272
34,54,306
35,54,340
36,54,374
37,54,408
38,54,442
39,54,476
40,54,510
41,54,544
42,54,578
43,54,612
44,54,646
45,54,680
46,54,714
47,81,34
48,81,68
49,81,102
50,81,136
51,81,170
52,81,204
53,81,238
54,81,272
55,81,306
56,81,340
57,81,374
58,81,408
59,81,442
60,81,476
61,81,510
62,81,544
63,81,578
64,81,612
65,81,646
66,81,680
67,81,714
68,108,34
69,108,68
70,108,102
71,108,136
72,108,170
73,108,204
74,108,238
75,108,272
76,108,306
77,108,340
78,108,374
79,108,408
80,108,442
81,108,476
82,108,510
83,108,544
84,108,578
85,108,612
86,108,646
87,108,680
88,108,714
89,135,34
90,135,68
91,135,102
92,135,136
93,135,170
94,135,204
95,135,238
96,135,272
97,135,306
98,135,340
99,135,374
100,135,408
101,135,442
102,135,476
103,135,510
104,135,544
105,135,578
106,135,612
107,135,646
108,135,680
109,135,714
110,162,34
111,162,68
112,162,102
113,162,136
114,162,170
115,162,204
116,162,238
117,162,272
118,162,306
119,162,340
120,162,374
121,162,408
122,162,442
123,162,476
124,162,510
125,162,544
126,162,578
127,162,612
128,162,646
129,162,680
130,162,714
131,189,0
132,189,34
133,189,68
134,189,102
135,189,136
136,189,170
137,189,204
138,189,238
139,189,272
140,189,306
141,189,340
142,189,374
143,189,408
144,189,442
145,189,476
146,189,510
147,189,544
148,189,578
149,189,612
150,189,646
151,189,680
152,189,714
153,216,0
154,216,34
155,216,68
156,216,102
157,216,136
158,216,170
159,216,204
160,216,238
161,216,272
162,216,306
163,216,340
164,216,374
165,216,408
166,216,442
167,216,476
168,216,510
169,216,544
170,216,578
171,216,612
172,216,646
173,243,0
174,243,34
175,243,68
176,243,102
177,243,136
178,243,170
179,243,204
180,243,238
181,243,272
182,243,306
183,243,340
184,243,374
185,243,408
186,243,442
187,243,476
188,243,510
189,243,544
190,243,578
191,243,612
192,243,646
193,270,0
194,270,34
195,270,68
196,270,102
197,270,136
198,270,170
199,270,204
200,270,238
201,270,272
202,270,306
203,270,340
204,270,374
205,270,408
206,270,442
207,270,476
208,270,510
209,270,544
210,270,578
211,270,612
212,270,646
213,297,0
214,297,34
215,297,68
216,297,102
217,297,136
218,297,170
219,297,204
220,297,238
221,297,272
222,297,306
223,297,340
224,297,374
225,297,408
226,297,442
227,297,476
228,297,510
229,297,544
230,297,578
231,297,612
232,297,646
233,324,0
